timestamp [ms],face transform 0,face transform 1,face transform 2,face transform 3,face transform 4,face transform 5,face transform 6,face transform 7,face transform 8,face transform 9,face transform 10,face transform 11,face transform 12,face transform 13,face transform 14,face transform 15,left eye transform 0,left eye transform 1,left eye transform 2,left eye transform 3,left eye transform 4,left eye transform 5,left eye transform 6,left eye transform 7,left eye transform 8,left eye transform 9,left eye transform 10,left eye transform 11,left eye transform 12,left eye transform 13,left eye transform 14,left eye transform 15,left eye position x,left eye position y,left eye position z,right eye transform 0,right eye transform 1,right eye transform 2,right eye transform 3,right eye transform 4,right eye transform 5,right eye transform 6,right eye transform 7,right eye transform 8,right eye transform 9,right eye transform 10,right eye transform 11,right eye transform 12,right eye transform 13,right eye transform 14,right eye transform 15,right eye position x,right eye position y,right eye position z
1668497292933,0.9882785,0.0033536549,-0.15262586,0.0,0.032285612,0.97255445,0.23042479,0.0,0.14920972,-0.23265152,0.9610463,0.0,-0.0007222451,0.24821346,-0.4833977,1.0,0.9933393,-0.017378852,0.11390792,0.0,0.0,0.9885606,0.15082401,0.0,-0.11522603,-0.14981942,0.9819761,0.0,0.031562764,0.027206793,0.025452193,1.0,0.011234056,0.25509495,-0.47476017,0.9989394,-0.006982828,0.04551171,0.0,0.0,0.98843354,0.15165463,0.0,-0.04604428,-0.15149379,0.9873852,0.0,-0.031562936,0.027206648,0.025452416,1.0,-0.009561191,0.2550243,-0.4715486
1668497292950,0.98852247,0.0021488315,-0.15105881,0.0,0.033047184,0.9726069,0.23009488,0.0,0.14741527,-0.23244597,0.9613727,0.0,-0.00081933505,0.24799655,-0.48324096,1.0,0.9934374,-0.017389257,0.11304768,0.0,0.0,0.98837525,0.15203416,0.0,-0.11437729,-0.15103643,0.98188895,0.0,0.031562764,0.027206793,0.025452193,1.0,0.011131216,0.25486758,-0.47458717,0.9989793,-0.0069049196,0.04463994,0.0,0.0,0.98824745,0.15286241,0.0,-0.045170814,-0.15270638,0.9872387,0.0,-0.031562936,0.027206648,0.025452416,1.0,-0.009669165,0.2548223,-0.47140855
1668497292967,0.9887848,0.0006839621,-0.14934479,0.0,0.0340239,0.97266173,0.2297208,0.0,0.14541908,-0.23222567,0.96172994,0.0,-0.0009700229,0.2477474,-0.482914,1.0,0.99345297,-0.01737754,0.112912305,0.0,0.0,0.98836327,0.15211205,0.0,-0.114241704,-0.15111616,0.9818924,0.0,0.031562764,0.027206793,0.025452193,1.0,0.01097521,0.25460538,-0.47424254,0.9989848,-0.006889639,0.04451825,0.0,0.0,0.9882356,0.15293922,0.0,-0.04504822,-0.15278396,0.9872323,0.0,-0.031562936,0.027206648,0.025452416,1.0,-0.009830693,0.25459093,-0.47109997
1668497292983,0.98909986,-0.0014173271,-0.1472398,0.0,0.035660338,0.97249186,0.23019117,0.0,0.14286323,-0.23293264,0.9619422,0.0,-0.0010889929,0.24770759,-0.48279178,1.0,0.9937117,-0.016264945,0.11078122,0.0,0.0,0.98939306,0.1452631,0.0,-0.11196887,-0.14434965,0.98317146,0.0,0.031562764,0.027206793,0.025452193,1.0,0.010852711,0.2545359,-0.47409213,0.999083,-0.0062524593,0.042356845,0.0,0.0,0.9892799,0.14603147,0.0,-0.042815834,-0.14589755,0.98837274,0.0,-0.031562936,0.027206648,0.025452416,1.0,-0.009959821,0.2545657,-0.47099385
1668497293000,0.9894713,-0.0036239838,-0.14468417,0.0,0.037259623,0.9723689,0.230457,0.0,0.1398512,-0.23342147,0.9622661,0.0,-0.0012310641,0.24813078,-0.4835496,1.0,0.99407774,-0.013547561,0.10782373,0.0,0.0,0.9921989,0.124665275,0.0,-0.10867149,-0.123926975,0.9863228,0.0,0.031655807,0.027322005,0.025637152,1.0,0.010744238,0.25495347,-0.47475418,0.9992172,-0.004956874,0.03924747,0.0,0.0,0.9921186,0.12530252,0.0,-0.039559253,-0.12520444,0.991342,0.0,-0.031658467,0.027324336,0.025638815,1.0,-0.010138208,0.2550306,-0.47169995
1668497293017,0.9898126,-0.0055010063,-0.14226961,0.0,0.038554367,0.97227514,0.23064034,0.0,0.13705641,-0.23377581,0.96258223,0.0,-0.0013749367,0.24935906,-0.4858335,1.0,0.994169,-0.011666497,0.10720051,0.0,0.0,0.99413025,0.10818995,0.0,-0.10783347,-0.10755909,0.98833346,0.0,0.03184009,0.027550198,0.026003482,1.0,0.010672345,0.25620314,-0.4768819,0.9992538,-0.0042001815,0.038395025,0.0,0.0,0.99406964,0.10874516,0.0,-0.038624078,-0.10866401,0.99332786,0.0,-0.03184768,0.02755743,0.026008,1.0,-0.010340342,0.2563219,-0.4738596
1668497293033,0.990106,-0.00743904,-0.14012383,0.0,0.03984747,0.9723895,0.22993644,0.0,0.13454445,-0.23324516,0.9630653,0.0,-0.0015314674,0.2515643,-0.49037528,1.0,0.9942258,-0.010882592,0.10675487,0.0,0.0,0.99484426,0.10141443,0.0,-0.10730812,-0.10082884,0.9890998,0.0,0.03211205,0.027886955,0.026544102,1.0,0.010627506,0.2584599,-0.48121652,0.99928856,-0.003844731,0.037518434,0.0,0.0,0.9947904,0.10194193,0.0,-0.037714913,-0.101869404,0.9940826,0.0,-0.032126922,0.027901426,0.026552837,1.0,-0.010573042,0.2586232,-0.47821215
1668497293050,0.9908084,-0.010218286,-0.13488615,0.0,0.039730355,0.97514683,0.21796761,0.0,0.12930658,-0.22132331,0.96658975,0.0,-0.0014604377,0.26061627,-0.5103635,1.0,0.99441075,-0.009901945,0.10511509,0.0,0.0,0.9955924,0.09378578,0.0,-0.10558045,-0.093261585,0.9900278,0.0,0.033369586,0.029444126,0.029043954,1.0,0.011202318,0.2679307,-0.50036675,0.99942833,-0.003188395,0.03365731,0.0,0.0,0.995543,0.09430892,0.0,-0.03380799,-0.09425501,0.9949739,0.0,-0.03341812,0.029492075,0.029072179,1.0,-0.01085377,0.26817167,-0.49735123
1668497293067,0.99091184,-0.0107625425,-0.13408194,0.0,0.03915386,0.9767098,0.21096137,0.0,0.12868871,-0.21429409,0.9682548,0.0,-0.0011970969,0.26402086,-0.51807576,1.0,0.9947137,-0.009654837,0.10223176,0.0,0.0,0.99557006,0.09402231,0.0,-0.10268666,-0.09352528,0.9903072,0.0,0.033876125,0.030071361,0.0300509,1.0,0.011673861,0.2715431,-0.5077762,0.999557,-0.00281388,0.029628918,0.0,0.0,0.99552053,0.09454532,0.0,-0.029762236,-0.09450344,0.9950795,0.0,-0.03393821,0.030132787,0.030086972,1.0,-0.010723134,0.2718038,-0.5047294
1668497293083,0.99100894,-0.010563275,-0.13337697,0.0,0.038037047,0.9779879,0.20516501,0.0,0.12827384,-0.20839374,0.96959674,0.0,-0.001228833,0.26741588,-0.5250275,1.0,0.99465907,-0.010324784,0.10269722,0.0,0.0,0.9949842,0.10003188,0.0,-0.10321493,-0.09949762,0.98967004,0.0,0.034363005,0.030674255,0.031018768,1.0,0.011837735,0.27513987,-0.51443225,0.99957055,-0.002948191,0.02915601,0.0,0.0,0.99492645,0.10060476,0.0,-0.029304689,-0.10056155,0.9944992,0.0,-0.03443812,0.03074863,0.031062378,1.0,-0.010886967,0.27540332,-0.51135427
1668497293100,0.990936,-0.009760324,-0.13397975,0.0,0.036518835,0.97936904,0.19875297,0.0,0.12927572,-0.20184413,0.9708483,0.0,-0.0013183478,0.27050218,-0.53099644,1.0,0.9939353,-0.0106976805,0.1094452,0.0,0.0,0.99525696,0.097281024,0.0,-0.10996678,-0.09669104,0.98922104,0.0,0.034746088,0.03114862,0.031780303,1.0,0.011907347,0.27841958,-0.52019995,0.9993642,-0.003490535,0.035481952,0.0,0.0,0.99519604,0.09790235,0.0,-0.03565323,-0.0978401,0.9945633,0.0,-0.034831453,0.031233184,0.031829845,1.0,-0.011071786,0.27867022,-0.517071
1668497293117,0.9906682,-0.008298639,-0.13604197,0.0,0.034849033,0.98038834,0.19396901,0.0,0.1317643,-0.19689994,0.9715289,0.0,-0.0012601496,0.27184707,-0.5336149,1.0,0.99329245,-0.010025186,0.115193844,0.0,0.0,0.99623436,0.08670112,0.0,-0.11562926,-0.08611956,0.9895521,0.0,0.034885734,0.03132154,0.032057907,1.0,0.012031784,0.27988225,-0.52278996,0.99913514,-0.003630201,0.041421678,0.0,0.0,0.9961816,0.08730548,0.0,-0.04158045,-0.087229975,0.99532,0.0,-0.034974836,0.03140982,0.032109607,1.0,-0.011034468,0.28010097,-0.51959956
1668497293134,0.99033123,-0.0062495647,-0.13858159,0.0,0.032870315,0.98110694,0.19065298,0.0,0.13477187,-0.19336493,0.97182643,0.0,-0.0012818876,0.27196333,-0.5339945,1.0,0.992775,-0.008557252,0.11968494,0.0,0.0,0.99745375,0.07131609,0.0,-0.11999047,-0.07080083,0.9902472,0.0,0.034885734,0.03132154,0.032057907,1.0,0.012017609,0.28006762,-0.52323055,0.9989166,-0.0033436741,0.0464153,0.0,0.0,0.9974153,0.07185199,0.0,-0.04653558,-0.07177415,0.99633473,0.0,-0.034974836,0.03140982,0.032109607,1.0,-0.011040806,0.2802387,-0.5199811
1668497293151,0.9898806,-0.004458547,-0.1418327,0.0,0.031456534,0.9815331,0.18868703,0.0,0.13837226,-0.19123934,0.97174096,0.0,-0.0012900118,0.27213377,-0.534269,1.0,0.9922632,-0.007383275,0.12393226,0.0,0.0,0.9982301,0.05946964,0.0,-0.124152,-0.059009537,0.990507,0.0,0.034885734,0.03132154,0.032057907,1.0,0.012027957,0.28028604,-0.5235643,0.9986904,-0.0030670792,0.05106909,0.0,0.0,0.99820143,0.05994943,0.0,-0.051161107,-0.059870925,0.99689424,0.0,-0.034974836,0.03140982,0.032109607,1.0,-0.011019942,0.28041548,-0.5202392
