timestamp [ms],camera transform 0,camera transform 1,camera transform 2,camera transform 3,camera transform 4,camera transform 5,camera transform 6,camera transform 7,camera transform 8,camera transform 9,camera transform 10,camera transform 11,camera transform 12,camera transform 13,camera transform 14,camera transform 15,face transform 0,face transform 1,face transform 2,face transform 3,face transform 4,face transform 5,face transform 6,face transform 7,face transform 8,face transform 9,face transform 10,face transform 11,face transform 12,face transform 13,face transform 14,face transform 15,left eye transform 0,left eye transform 1,left eye transform 2,left eye transform 3,left eye transform 4,left eye transform 5,left eye transform 6,left eye transform 7,left eye transform 8,left eye transform 9,left eye transform 10,left eye transform 11,left eye transform 12,left eye transform 13,left eye transform 14,left eye transform 15,right eye transform 0,right eye transform 1,right eye transform 2,right eye transform 3,right eye transform 4,right eye transform 5,right eye transform 6,right eye transform 7,right eye transform 8,right eye transform 9,right eye transform 10,right eye transform 11,right eye transform 12,right eye transform 13,right eye transform 14,right eye transform 15,camera euler y,camera euler p,camera euler r
1668579963996.0,-0.014636709,-0.8472953,-0.5309206,0.0,0.9998929,-0.01243751,-0.0077165994,0.0,-0.00006509234,-0.5309767,0.8473866,0.0,0.0,0.0,0.0,1.0,0.98287624,0.008089001,-0.18408917,0.0,-0.007411853,0.9999633,0.004366102,0.0,0.18411762,-0.002926922,0.9829002,0.0,0.0174805,0.22956721,-0.52968603,1.0,0.9999162,-0.00038680265,-0.012940348,0.0,0.0,0.99955356,-0.029877864,0.0,0.012946128,0.02987536,0.9994698,0.0,0.031608284,0.027309513,0.025631497,1.0,0.9969188,-0.0023363365,-0.07840544,0.0,0.0,0.9995563,-0.029784923,0.0,0.07844024,0.02969315,0.9964765,0.0,-0.03161191,0.02731289,0.025633225,1.0,0.55975276,-0.0000768154,-1.5854744
1668579964239.0,-0.014633343,-0.84733945,-0.5308501,0.0,0.9998929,-0.012494193,-0.007619766,0.0,-0.00017601596,-0.53090477,0.84743154,0.0,0.0,0.0,0.0,1.0,0.9829808,0.0094667105,-0.18346389,0.0,-0.010982617,0.99991333,-0.0072483653,0.0,0.1833794,0.009139905,0.9829997,0.0,0.018080998,0.23432314,-0.54375863,1.0,0.9994981,-0.0012613485,0.031652052,0.0,0.0,0.9992069,0.039818842,0.0,-0.031677175,-0.03979886,0.99870545,0.0,0.03221221,0.028672308,0.02801035,1.0,0.9993527,0.0014341627,-0.03594565,0.0,0.0,0.999205,0.03986637,0.0,0.03597425,-0.039840564,0.9985582,0.0,-0.03226166,0.028722432,0.028032064,1.0,0.5596679,-0.00020770523,-1.5855404
1668579964262.0,-0.014655639,-0.84732723,-0.5308691,0.0,0.99989253,-0.01253901,-0.007590239,0.0,-0.00022515854,-0.5309234,0.8474199,0.0,0.0,0.0,0.0,1.0,0.98237234,0.008649434,-0.18673465,0.0,-0.013244436,0.99963933,-0.023373626,0.0,0.18646505,0.025434775,0.98213243,0.0,0.018558728,0.24039125,-0.5605958,1.0,0.9974941,-0.008574348,0.07022796,0.0,0.0,0.99262893,0.12119313,0.0,-0.070749454,-0.12088943,0.9901415,0.0,0.032932747,0.030298242,0.030848546,1.0,0.9999986,-0.00020052872,0.0016367447,0.0,0.0,0.99257827,0.12160752,0.0,-0.001648983,-0.121607356,0.9925769,0.0,-0.033036865,0.03040416,0.030894097,1.0,0.5596899,-0.00026569888,-1.5855936
1668579964278.0,-0.014657846,-0.8473137,-0.5308906,0.0,0.99989253,-0.012549766,-0.007577238,0.0,-0.0002422549,-0.5309446,0.8474066,0.0,0.0,0.0,0.0,1.0,0.9820672,0.009114103,-0.18830992,0.0,-0.015087174,0.9994267,-0.030310411,0.0,0.18792568,0.032607917,0.9816418,0.0,0.018777035,0.2421456,-0.5651332,1.0,0.99717176,-0.010376979,0.07443625,0.0,0.0,0.9904221,0.13807237,0.0,-0.075156085,-0.13768187,0.98762095,0.0,0.03312017,0.030721169,0.031586792,1.0,0.99998516,-0.0007551264,0.0053962492,0.0,0.0,0.99035054,0.13858512,0.0,-0.0054488275,-0.13858306,0.9903358,0.0,-0.033238508,0.030841598,0.031638544,1.0,0.55971485,-0.000285878,-1.5856065
1668579964295.0,-0.014665063,-0.8473148,-0.53088874,0.0,0.9998924,-0.012564529,-0.0075672693,0.0,-0.0002585085,-0.5309426,0.8474078,0.0,0.0,0.0,0.0,1.0,0.9818293,0.009032332,-0.18955183,0.0,-0.015975907,0.999255,-0.03513539,0.0,0.1890932,0.03752534,0.981242,0.0,0.018901957,0.2426075,-0.56631684,1.0,0.9930285,-0.018697228,0.116382085,0.0,0.0,0.98733974,0.15861991,0.0,-0.11787441,-0.1575141,0.98045653,0.0,0.033188492,0.03087534,0.031855904,1.0,0.998856,-0.007634982,0.047205377,0.0,0.0,0.9871713,0.15966475,0.0,-0.047818832,-0.15948209,0.98604196,0.0,-0.03331201,0.031001057,0.031909917,1.0,0.5597125,-0.00030505794,-1.5856239
1668579964312.0,-0.014665122,-0.8473126,-0.530892,0.0,0.9998924,-0.012552121,-0.0075871875,0.0,-0.00023510217,-0.53094625,0.84740555,0.0,0.0,0.0,0.0,1.0,0.98144305,0.008816094,-0.19155185,0.0,-0.016487775,0.9991229,-0.038493264,0.0,0.19104446,0.040937085,0.98072743,0.0,0.018926384,0.24271232,-0.5664012,1.0,0.9893247,-0.025200022,0.14353271,0.0,0.0,0.984935,0.17292492,0.0,-0.14572811,-0.17107889,0.9744205,0.0,0.033188492,0.03087534,0.031855904,1.0,0.99712133,-0.01322231,0.074660935,0.0,0.0,0.9846776,0.17438453,0.0,-0.07582272,-0.17388254,0.98184305,0.0,-0.03331201,0.031001057,0.031909917,1.0,0.5597168,-0.0002774376,-1.5856093
1668579964328.0,-0.014688991,-0.8473129,-0.5308908,0.0,0.9998921,-0.012568938,-0.0076053008,0.0,-0.00022866369,-0.5309453,0.84740615,0.0,0.0,0.0,0.0,1.0,0.9811777,0.008237027,-0.19293135,0.0,-0.016146855,0.99909055,-0.03946182,0.0,0.19243087,0.04183428,0.9804184,0.0,0.018961715,0.24285512,-0.5667403,1.0,0.98883295,-0.025155704,0.14688991,0.0,0.0,0.98565066,0.16879809,0.0,-0.14902838,-0.1669131,0.9746438,0.0,0.033188492,0.03087534,0.031855904,1.0,0.996855,-0.013493048,0.07808975,0.0,0.0,0.9853982,0.17026594,0.0,-0.0792469,-0.16973045,0.9822991,0.0,-0.03331201,0.031001057,0.031909917,1.0,0.5597157,-0.00026983954,-1.5856291
1668579964345.0,-0.014691413,-0.8473138,-0.53088945,0.0,0.999892,-0.012573475,-0.0076026195,0.0,-0.00023332074,-0.5309438,0.8474071,0.0,0.0,0.0,0.0,1.0,0.9808073,0.007770055,-0.19482458,0.0,-0.0155776525,0.99913424,-0.03857516,0.0,0.19435614,0.040869586,0.9800794,0.0,0.019043103,0.24302925,-0.5670391,1.0,0.988104,-0.025632547,0.1516361,0.0,0.0,0.98601186,0.16667533,0.0,-0.15378729,-0.16469255,0.97428226,0.0,0.033188492,0.03087534,0.031855904,1.0,0.9964597,-0.01413939,0.08287383,0.0,0.0,0.98575574,0.1681832,0.0,-0.08407136,-0.16758777,0.9822659,0.0,-0.03331201,0.031001057,0.031909917,1.0,0.55971396,-0.00027533487,-1.5856345
1668579964361.0,-0.014679835,-0.84732604,-0.5308702,0.0,0.9998922,-0.0125805,-0.00756959,0.0,-0.00026470204,-0.53092414,0.84741944,0.0,0.0,0.0,0.0,1.0,0.98035187,0.0077507114,-0.1971048,0.0,-0.0155260665,0.99915975,-0.03793321,0.0,0.19664514,0.040248122,0.97964835,0.0,0.019139223,0.24316986,-0.5672014,1.0,0.9866005,-0.026884196,0.1609244,0.0,0.0,0.98633075,0.16477743,0.0,-0.1631546,-0.1625695,0.97311443,0.0,0.033188492,0.03087534,0.031855904,1.0,0.9955867,-0.0156137,0.09253865,0.0,0.0,0.9860626,0.16637465,0.0,-0.09384663,-0.16564038,0.9817108,0.0,-0.03331201,0.031001057,0.031909917,1.0,0.5596907,-0.00031236248,-1.5856426
1668579964379.0,-0.01468903,-0.84732676,-0.5308689,0.0,0.99989206,-0.012590572,-0.007570832,0.0,-0.0002689745,-0.5309229,0.8474202,0.0,0.0,0.0,0.0,1.0,0.9800053,0.0074403933,-0.1988317,0.0,-0.01526844,0.99916625,-0.03786615,0.0,0.19838417,0.04014483,0.9793018,0.0,0.019215414,0.24315983,-0.5671966,1.0,0.9863192,-0.027260933,0.16257699,0.0,0.0,0.9862314,0.16537142,0.0,-0.1648467,-0.163109,0.9727389,0.0,0.033188492,0.03087534,0.031855904,1.0,0.9954201,-0.015963983,0.09425461,0.0,0.0,0.98595816,0.16699256,0.0,-0.09559697,-0.16622776,0.9814426,0.0,-0.03331201,0.031001057,0.031909917,1.0,0.5596892,-0.0003174039,-1.5856544
